gender,condition,response,rt,key_t,img,pause_trigger_t,onset_word,onset_img,correct_resp,delay_frames_after,no,word_score_warriner,ID,img_trigger,scan day,duration_frames,word_label,offset_img,duration_measured_img,word_trigger,delay_frames_before,age,duration_measured_word,session,pause_trigger,word_score_pc,offset_word,word
male,faceWord_exp,,,,image_stim_n.png,212.77975060002063,211.08523580001201,217.39586570000392,,180,22,5.82,kranalarm,22,Monday,42,neu,218.07683460001135,0.6809689000074286,13,336,20,0.6945112000103109,2,42,-0.6680004122251881,211.77974700002233,monkey
male,faceWord_exp,,,,image_stim_n.png,222.77500839999993,221.07808480001404,224.79196920001414,,336,23,5.5,kranalarm,22,Monday,42,neu,225.47422940001707,0.6822602000029292,13,180,20,0.6968823999923188,2,42,-0.049892793833906636,221.77496720000636,nose
male,faceWord_exp,b,0.24612779999733903,237.63417850001133,image_stim_p.png,232.76966750001884,231.07524370000465,237.388050700014,1,180,24,5.15,kranalarm,21,Monday,42,neu,238.08405430000857,0.696003599994583,13,336,20,0.6946140000072774,2,41,0.3296196251321362,231.76985770001193,pan
male,faceWord_exp,,,,image_stim_n.png,242.83328390002134,241.13749300001655,244.85707640001783,,336,25,4.41,kranalarm,22,Monday,42,neg,245.54661879999912,0.689542399981292,12,180,20,0.6947207000048365,2,32,0.16339675594021513,241.83221370002138,jaw
male,faceWord_exp,,,,image_stim_n.png,252.84361430001445,251.14743840001756,254.86334010001156,,336,26,3.48,kranalarm,22,Monday,42,neg,255.5587622000021,0.6954220999905374,12,180,20,0.6964880999876186,2,32,0.7321109855355353,251.84392650000518,axe
male,faceWord_exp,b,0.3616158999793697,267.8358268000011,image_stim_p.png,262.85620310000377,261.1597896000021,267.4742109000217,1,180,27,5.27,kranalarm,21,Monday,42,neu,268.1691793000209,0.6949683999991976,13,336,20,0.6955769000051077,2,41,0.17918122123944408,261.8553665000072,verb
male,faceWord_exp,b,0.29799439999624155,277.78112960001454,image_stim_p.png,272.86686810001265,271.16963089999626,277.4831352000183,1,180,28,5.07,kranalarm,21,Monday,42,neu,278.16401730000507,0.6808820999867748,13,336,20,0.6981754000007641,2,41,0.3228926581020319,271.867806299997,street
male,faceWord_exp,b,0.514142100000754,285.3960171000217,image_stim_p.png,282.86175390001154,281.16467300002114,284.88187500002095,1,336,29,7.68,kranalarm,21,Monday,42,pos,285.57709249999607,0.6952174999751151,11,180,20,0.6970004999893717,2,31,-1.3503642789447028,281.8616735000105,musical
male,faceWord_exp,,,,image_stim_n.png,292.87356160001946,291.17538110000896,294.8931223000109,,336,30,4.8,kranalarm,22,Monday,42,neg,295.5728211000096,0.6796987999987323,12,180,20,0.6982567000086419,2,32,0.2623575316864496,291.8736378000176,hoe
male,faceWord_exp,,,,image_stim_n.png,302.86865560000297,301.1739216000133,304.887775900017,,336,31,4.52,kranalarm,22,Monday,42,neg,305.5684073000157,0.6806313999986742,12,180,20,0.6945441999996547,2,32,2.373388118792564,301.8684658000129,excuse
male,faceWord_exp,b,0.26495020001311786,317.7446443000226,image_stim_p.png,312.8636525000038,311.1659157999966,317.4796941000095,1,180,32,6.76,kranalarm,21,Monday,42,pos,318.1618330000201,0.6821389000106137,11,336,20,0.6977708000049461,2,31,-1.2978987804410356,311.86368660000153,artist
male,faceWord_exp,,,,image_stim_n.png,322.8585704000143,321.1638949000044,324.8778494000144,,336,33,5.65,kranalarm,22,Monday,42,neu,325.5581351000001,0.6802856999856886,13,180,20,0.6948841999983415,2,42,0.1106807997481866,321.8587791000027,theory
male,faceWord_exp,,,,image_stim_n.png,332.8554767000023,331.15626230000635,337.47590210000635,,180,34,4.76,kranalarm,22,Monday,42,neg,338.1674479000212,0.6915458000148647,12,336,20,0.6977538999926765,2,32,3.561717315569441,331.854016199999,landslide
